NumEvt: 650009, year=1660, I0 from catalogue = 8.5
Barycenter Io:9.13
Barycenter M:6.54
Barycenter H:9.67
H[km]	Mag	PDF
6.1145	8.9697	0.000042
6.1145	9.0707	0.000214
6.1145	9.1717	0.000585
6.1145	9.2727	0.001119
6.1145	9.3737	0.001836
6.1145	9.4747	0.001878
6.4211	8.8687	0.000014
6.4211	8.9697	0.000094
6.4211	9.0707	0.000319
6.4211	9.1717	0.000632
6.4211	9.2727	0.001188
6.4211	9.3737	0.001541
6.4211	9.4747	0.001399
6.7432	8.8687	0.000040
6.7432	8.9697	0.000217
6.7432	9.0707	0.000507
6.7432	9.1717	0.001102
6.7432	9.2727	0.001684
6.7432	9.3737	0.002145
6.7432	9.4747	0.001603
7.0814	8.7677	0.000005
7.0814	8.8687	0.000128
7.0814	8.9697	0.000356
7.0814	9.0707	0.000967
7.0814	9.1717	0.001641
7.0814	9.2727	0.002342
7.0814	9.3737	0.002637
7.0814	9.4747	0.001677
7.4365	8.6667	0.000007
7.4365	8.7677	0.000172
7.4365	8.8687	0.000673
7.4365	8.9697	0.001934
7.4365	9.0707	0.003710
7.4365	9.1717	0.005609
7.4365	9.2727	0.006655
7.4365	9.3737	0.006069
7.4365	9.4747	0.003440
7.8095	8.6667	0.000032
7.8095	8.7677	0.000269
7.8095	8.8687	0.000796
7.8095	8.9697	0.001856
7.8095	9.0707	0.003041
7.8095	9.1717	0.004115
7.8095	9.2727	0.004002
7.8095	9.3737	0.003222
7.8095	9.4747	0.002035
8.2012	8.5657	0.000011
8.2012	8.6667	0.000345
8.2012	8.7677	0.001269
8.2012	8.8687	0.003554
8.2012	8.9697	0.006380
8.2012	9.0707	0.009459
8.2012	9.1717	0.010213
8.2012	9.2727	0.008702
8.2012	9.3737	0.006882
8.2012	9.4747	0.009215
8.6125	8.5657	0.000090
8.6125	8.6667	0.000398
8.6125	8.7677	0.001524
8.6125	8.8687	0.002969
8.6125	8.9697	0.005096
8.6125	9.0707	0.005946
8.6125	9.1717	0.005743
8.6125	9.2727	0.004300
8.6125	9.3737	0.006409
8.6125	9.4747	0.008876
9.0444	8.4646	0.000045
9.0444	8.5657	0.000534
9.0444	8.6667	0.002105
9.0444	8.7677	0.005173
9.0444	8.8687	0.010034
9.0444	8.9697	0.013200
9.0444	9.0707	0.013784
9.0444	9.1717	0.011099
9.0444	9.2727	0.013833
9.0444	9.3737	0.023454
9.0444	9.4747	0.019614
9.4980	8.4646	0.000341
9.4980	8.5657	0.001429
9.4980	8.6667	0.004904
9.4980	8.7677	0.009852
9.4980	8.8687	0.014868
9.4980	8.9697	0.016978
9.4980	9.0707	0.013996
9.4980	9.1717	0.017137
9.4980	9.2727	0.025338
9.4980	9.3737	0.035704
9.4980	9.4747	0.024365
9.9744	8.3636	0.000151
9.9744	8.4646	0.001031
9.9744	8.5657	0.004004
9.9744	8.6667	0.008780
9.9744	8.7677	0.015181
9.9744	8.8687	0.018596
9.9744	8.9697	0.017209
9.9744	9.0707	0.018312
9.9744	9.1717	0.027842
9.9744	9.2727	0.038071
9.9744	9.3737	0.037134
9.9744	9.4747	0.019468
10.4747	8.2626	0.000018
10.4747	8.3636	0.000642
10.4747	8.4646	0.002581
10.4747	8.5657	0.007583
10.4747	8.6667	0.013713
10.4747	8.7677	0.019721
10.4747	8.8687	0.018771
10.4747	8.9697	0.020862
10.4747	9.0707	0.027324
10.4747	9.1717	0.040250
10.4747	9.2727	0.040923
10.4747	9.3737	0.025903
10.4747	9.4747	0.009011
11.0000	8.2626	0.000071
11.0000	8.3636	0.000590
11.0000	8.4646	0.002246
11.0000	8.5657	0.005341
11.0000	8.6667	0.008471
11.0000	8.7677	0.010547
11.0000	8.8687	0.009640
11.0000	8.9697	0.012402
11.0000	9.0707	0.018052
11.0000	9.1717	0.021818
11.0000	9.2727	0.018963
11.0000	9.3737	0.006554
11.0000	9.4747	0.001506
