,EVID,Depi,I,Io,QIo,StdI,StdlogR,Ndata
0,650009.0,7.406095833604462,8.5,8.5,0.5,0.71,0.0,1.0
1,650009.0,11.834902781084146,8.0,8.5,0.5,0.21407305465021217,0.02749253887619044,11.0
2,650009.0,23.407618026535125,7.5,8.5,0.5,0.4099186911246343,0.08006405146219714,3.0
3,650009.0,51.13177139019631,7.0,8.5,0.5,0.71,0.0,1.0
4,650009.0,61.38572004187813,6.5,8.5,0.5,0.71,0.0,1.0
5,650009.0,121.78711021484338,6.000000000000003,8.5,0.5,0.36709514620236977,0.10488432748639136,8.0
6,650009.0,128.6912807493512,5.5,8.5,0.5,0.47840150867838593,0.1366861453366817,8.0
7,650009.0,187.3499940259114,4.999999999999999,8.5,0.5,0.3461419760727835,0.09889770744936673,25.0
20,650009.0,0.0,8.5,8.5,0.5,0.5,99.0,1.0
