NumEvt: 650009, year=1660, I0 from catalogue = 8.5
Barycenter Io:9.29
Barycenter M:6.63
Barycenter H:10.07
H[km]	Mag	PDF
7.8095	6.3729	0.000395
8.2012	6.3729	0.000954
8.6125	6.3729	0.000561
9.0444	6.3729	0.001285
9.4980	6.3729	0.001484
9.9744	6.3729	0.001639
10.4747	6.3729	0.001732
11.0000	6.3729	0.000878
7.8095	6.4746	0.000927
8.2012	6.4746	0.010957
8.6125	6.4746	0.010847
9.0444	6.4746	0.024869
9.4980	6.4746	0.028710
9.9744	6.4746	0.031712
10.4747	6.4746	0.033513
11.0000	6.4746	0.016990
8.2012	6.5763	0.006635
8.6125	6.5763	0.012139
9.0444	6.5763	0.045721
9.4980	6.5763	0.063006
9.9744	6.5763	0.069594
10.4747	6.5763	0.073547
11.0000	6.5763	0.037285
8.6125	6.6780	0.003394
9.0444	6.6780	0.025540
9.4980	6.6780	0.075384
9.9744	6.6780	0.105337
10.4747	6.6780	0.111321
11.0000	6.6780	0.056435
9.4980	6.7797	0.013035
9.9744	6.7797	0.037291
10.4747	6.7797	0.050059
11.0000	6.7797	0.026026
9.9744	6.8814	0.002277
10.4747	6.8814	0.011435
11.0000	6.8814	0.007085
