NumEvt: 650009, year=1660, I0 from catalogue = 8.5
Barycenter Io:9.3
Barycenter M:6.64
Barycenter H:10.1
H[km]	Mag	PDF
8.2012	6.3729	0.000969
8.6125	6.3729	0.000570
9.0444	6.3729	0.001306
9.4980	6.3729	0.001508
9.9744	6.3729	0.001665
10.4747	6.3729	0.001760
11.0000	6.3729	0.000892
7.8095	6.4746	0.000378
8.2012	6.4746	0.006287
8.6125	6.4746	0.007195
9.0444	6.4746	0.016496
9.4980	6.4746	0.019045
9.9744	6.4746	0.021036
10.4747	6.4746	0.022231
11.0000	6.4746	0.011270
8.2012	6.5763	0.005153
8.6125	6.5763	0.012942
9.0444	6.5763	0.055206
9.4980	6.5763	0.074121
9.9744	6.5763	0.081872
10.4747	6.5763	0.086522
11.0000	6.5763	0.043863
9.0444	6.6780	0.025925
9.4980	6.6780	0.076548
9.9744	6.6780	0.106980
10.4747	6.6780	0.113057
11.0000	6.6780	0.057315
9.4980	6.7797	0.013231
9.9744	6.7797	0.035400
10.4747	6.7797	0.050831
11.0000	6.7797	0.026428
9.9744	6.8814	0.002312
10.4747	6.8814	0.012495
11.0000	6.8814	0.007192
