NumEvt: 650009, year=1660, I0 from catalogue = 8.5
Barycenter Io:9.13
Barycenter M:6.54
Barycenter H:9.67
H[km]	Mag	PDF
6.1145	5.9661	0.000050
6.4211	5.9661	0.000033
6.7432	5.9661	0.000040
7.0814	5.9661	0.000047
7.4365	5.9661	0.000120
7.8095	5.9661	0.000074
8.2012	5.9661	0.000179
8.6125	5.9661	0.000105
9.0444	5.9661	0.000241
9.4980	5.9661	0.000278
9.9744	5.9661	0.000307
10.4747	5.9661	0.000324
11.0000	5.9661	0.000164
6.1145	6.0678	0.000426
6.4211	6.0678	0.000287
6.7432	6.0678	0.000345
7.0814	6.0678	0.000410
7.4365	6.0678	0.001040
7.8095	6.0678	0.000642
8.2012	6.0678	0.001548
8.6125	6.0678	0.000910
9.0444	6.0678	0.002086
9.4980	6.0678	0.002409
9.9744	6.0678	0.002660
10.4747	6.0678	0.002812
11.0000	6.0678	0.001425
6.1145	6.1695	0.001168
6.4211	6.1695	0.000988
6.7432	6.1695	0.001247
7.0814	6.1695	0.001481
7.4365	6.1695	0.003759
7.8095	6.1695	0.002320
8.2012	6.1695	0.005595
8.6125	6.1695	0.003289
9.0444	6.1695	0.007540
9.4980	6.1695	0.008705
9.9744	6.1695	0.009615
10.4747	6.1695	0.010162
11.0000	6.1695	0.005151
6.1145	6.2712	0.000515
6.4211	6.2712	0.000884
6.7432	6.2712	0.001553
7.0814	6.2712	0.002164
7.4365	6.2712	0.006265
7.8095	6.2712	0.003958
8.2012	6.2712	0.009547
8.6125	6.2712	0.005612
9.0444	6.2712	0.012866
9.4980	6.2712	0.014854
9.9744	6.2712	0.016407
10.4747	6.2712	0.017339
11.0000	6.2712	0.008790
6.1145	6.3729	0.000337
6.4211	6.3729	0.000277
6.7432	6.3729	0.000441
7.0814	6.3729	0.000824
7.4365	6.3729	0.003452
7.8095	6.3729	0.002812
8.2012	6.3729	0.007457
8.6125	6.3729	0.004467
9.0444	6.3729	0.010243
9.4980	6.3729	0.011825
9.9744	6.3729	0.013061
10.4747	6.3729	0.013803
11.0000	6.3729	0.006998
6.1145	6.4746	0.000706
6.4211	6.4746	0.000602
6.7432	6.4746	0.000783
7.0814	6.4746	0.001014
7.4365	6.4746	0.002721
7.8095	6.4746	0.002388
8.2012	6.4746	0.010444
8.6125	6.4746	0.008508
9.0444	6.4746	0.019664
9.4980	6.4746	0.022724
9.9744	6.4746	0.025100
10.4747	6.4746	0.026526
11.0000	6.4746	0.013447
6.1145	6.5763	0.000844
6.4211	6.5763	0.000774
6.7432	6.5763	0.001099
7.0814	6.5763	0.001471
7.4365	6.5763	0.004100
7.8095	6.5763	0.002650
8.2012	6.5763	0.009720
8.6125	6.5763	0.009839
9.0444	6.5763	0.031522
9.4980	6.5763	0.041503
9.9744	6.5763	0.045842
10.4747	6.5763	0.048446
11.0000	6.5763	0.024560
6.1145	6.6780	0.000504
6.4211	6.6780	0.000457
6.7432	6.6780	0.000647
7.0814	6.6780	0.000950
7.4365	6.6780	0.003096
7.8095	6.6780	0.002086
8.2012	6.6780	0.005280
8.6125	6.6780	0.004855
9.0444	6.6780	0.020012
9.4980	6.6780	0.046053
9.9744	6.6780	0.061903
10.4747	6.6780	0.065419
11.0000	6.6780	0.033165
6.1145	6.7797	0.000532
6.4211	6.7797	0.000385
6.7432	6.7797	0.000505
7.0814	6.7797	0.000619
7.4365	6.7797	0.001691
7.8095	6.7797	0.001182
8.2012	6.7797	0.003191
8.6125	6.7797	0.001911
9.0444	6.7797	0.004451
9.4980	6.7797	0.011657
9.9744	6.7797	0.024322
10.4747	6.7797	0.031028
11.0000	6.7797	0.016054
6.1145	6.8814	0.000454
6.4211	6.8814	0.000334
6.7432	6.8814	0.000401
7.0814	6.8814	0.000476
7.4365	6.8814	0.001237
7.8095	6.8814	0.000767
8.2012	6.8814	0.001887
8.6125	6.8814	0.001161
9.0444	6.8814	0.002661
9.4980	6.8814	0.003072
9.9744	6.8814	0.004532
10.4747	6.8814	0.009304
11.0000	6.8814	0.005360
6.1145	6.9831	0.000133
6.4211	6.9831	0.000148
6.7432	6.9831	0.000204
7.0814	6.9831	0.000250
7.4365	6.9831	0.000635
7.8095	6.9831	0.000392
8.2012	6.9831	0.000945
8.6125	6.9831	0.000556
9.0444	6.9831	0.001274
9.4980	6.9831	0.001471
9.9744	6.9831	0.001625
10.4747	6.9831	0.001717
11.0000	6.9831	0.000870
6.1145	7.0847	0.000007
6.4211	7.0847	0.000017
6.7432	7.0847	0.000033
7.0814	7.0847	0.000048
7.4365	7.0847	0.000153
7.8095	7.0847	0.000097
8.2012	7.0847	0.000234
8.6125	7.0847	0.000137
9.0444	7.0847	0.000315
9.4980	7.0847	0.000363
9.9744	7.0847	0.000401
10.4747	7.0847	0.000424
11.0000	7.0847	0.000215
