NumEvt: 640001, year=1980, I0 from catalogue = 7.5
Barycenter Io:8.15
Barycenter M:5.12
Barycenter H:4.16
H[km]	Mag	PDF
2.6788	4.7458	0.000439
2.8607	4.7458	0.000446
3.0549	4.7458	0.000436
3.2623	4.7458	0.000410
3.4838	4.7458	0.000370
3.7204	4.7458	0.000321
3.9730	4.7458	0.000268
4.2427	4.7458	0.000215
4.5308	4.7458	0.000290
4.8384	4.7458	0.000088
5.1670	4.7458	0.000060
2.0598	4.8475	0.000692
2.1996	4.8475	0.000663
2.3490	4.8475	0.000783
2.5085	4.8475	0.002876
2.6788	4.8475	0.003940
2.8607	4.8475	0.004981
3.0549	4.8475	0.005669
3.2623	4.8475	0.005894
3.4838	4.8475	0.004402
3.7204	4.8475	0.004707
3.9730	4.8475	0.003281
4.2427	4.8475	0.002743
4.5308	4.8475	0.002417
4.8384	4.8475	0.000871
5.1670	4.8475	0.000764
5.5178	4.8475	0.000241
5.8924	4.8475	0.000186
6.2925	4.8475	0.000212
6.7197	4.8475	0.000052
7.1760	4.8475	0.000035
1.5838	4.9492	0.000137
1.6914	4.9492	0.000353
1.8062	4.9492	0.000480
1.9288	4.9492	0.000352
2.0598	4.9492	0.000469
2.1996	4.9492	0.001787
2.3490	4.9492	0.002605
2.5085	4.9492	0.004108
2.6788	4.9492	0.003990
2.8607	4.9492	0.010426
3.0549	4.9492	0.012459
3.2623	4.9492	0.016995
3.4838	4.9492	0.014344
3.7204	4.9492	0.015553
3.9730	4.9492	0.012053
4.2427	4.9492	0.011389
4.5308	4.9492	0.009648
4.8384	4.9492	0.007226
5.1670	4.9492	0.006048
5.5178	4.9492	0.004116
5.8924	4.9492	0.003600
6.2925	4.9492	0.003277
6.7197	4.9492	0.001289
7.1760	4.9492	0.000996
7.6632	4.9492	0.000887
8.1835	4.9492	0.000504
8.7392	4.9492	0.000214
1.6914	5.0508	0.000301
1.8062	5.0508	0.001444
1.9288	5.0508	0.001243
2.0598	5.0508	0.002043
2.1996	5.0508	0.002488
2.3490	5.0508	0.003552
2.5085	5.0508	0.007873
2.6788	5.0508	0.005581
2.8607	5.0508	0.004774
3.0549	5.0508	0.014028
3.2623	5.0508	0.018833
3.4838	5.0508	0.024480
3.7204	5.0508	0.026993
3.9730	5.0508	0.022846
4.2427	5.0508	0.023122
4.5308	5.0508	0.019267
4.8384	5.0508	0.018690
5.1670	5.0508	0.014612
5.5178	5.0508	0.011129
5.8924	5.0508	0.009831
6.2925	5.0508	0.008829
6.7197	5.0508	0.003834
7.1760	5.0508	0.003000
7.6632	5.0508	0.002987
8.1835	5.0508	0.001545
8.7392	5.0508	0.000696
1.9288	5.1525	0.001461
2.0598	5.1525	0.002284
2.1996	5.1525	0.002775
2.3490	5.1525	0.004173
2.5085	5.1525	0.005280
2.6788	5.1525	0.008562
2.8607	5.1525	0.006992
3.0549	5.1525	0.009169
3.2623	5.1525	0.010959
3.4838	5.1525	0.020604
3.7204	5.1525	0.022197
3.9730	5.1525	0.025179
4.2427	5.1525	0.029118
4.5308	5.1525	0.024450
4.8384	5.1525	0.026707
5.1670	5.1525	0.021034
5.5178	5.1525	0.017699
5.8924	5.1525	0.015192
6.2925	5.1525	0.014210
6.7197	5.1525	0.006648
7.1760	5.1525	0.005255
7.6632	5.1525	0.005622
8.1835	5.1525	0.002795
8.7392	5.1525	0.001293
2.0598	5.2542	0.000957
2.1996	5.2542	0.001843
2.3490	5.2542	0.003481
2.5085	5.2542	0.005033
2.6788	5.2542	0.006306
2.8607	5.2542	0.003770
3.0549	5.2542	0.007105
3.2623	5.2542	0.003677
3.4838	5.2542	0.005863
3.7204	5.2542	0.007452
3.9730	5.2542	0.009723
4.2427	5.2542	0.015563
4.5308	5.2542	0.016563
4.8384	5.2542	0.018422
5.1670	5.2542	0.014843
5.5178	5.2542	0.013178
5.8924	5.2542	0.010806
6.2925	5.2542	0.009834
6.7197	5.2542	0.005224
7.1760	5.2542	0.004149
7.6632	5.2542	0.004841
8.1835	5.2542	0.001982
8.7392	5.2542	0.001048
2.3490	5.3559	0.000829
2.5085	5.3559	0.001426
2.6788	5.3559	0.004939
2.8607	5.3559	0.003629
3.0549	5.3559	0.004141
3.2623	5.3559	0.002623
3.4838	5.3559	0.004105
3.7204	5.3559	0.000825
3.9730	5.3559	0.002407
4.2427	5.3559	0.003438
4.5308	5.3559	0.005874
4.8384	5.3559	0.008198
5.1670	5.3559	0.006213
5.5178	5.3559	0.006139
5.8924	5.3559	0.004848
6.2925	5.3559	0.004549
6.7197	5.3559	0.002625
7.1760	5.3559	0.002096
7.6632	5.3559	0.002625
8.1835	5.3559	0.000927
8.7392	5.3559	0.000545
2.6788	5.4576	0.000301
2.8607	5.4576	0.000446
3.0549	5.4576	0.001666
3.2623	5.4576	0.001222
3.4838	5.4576	0.002111
3.7204	5.4576	0.000584
3.9730	5.4576	0.000782
4.2427	5.4576	0.000242
4.5308	5.4576	0.000446
4.8384	5.4576	0.001570
5.1670	5.4576	0.001474
5.5178	5.4576	0.001413
5.8924	5.4576	0.001129
6.2925	5.4576	0.001023
6.7197	5.4576	0.000669
7.1760	5.4576	0.000536
7.6632	5.4576	0.000712
8.1835	5.4576	0.000211
8.7392	5.4576	0.000142
3.0549	5.5593	0.000190
3.2623	5.5593	0.000085
3.4838	5.5593	0.000350
3.7204	5.5593	0.000108
3.9730	5.5593	0.000144
4.2427	5.5593	0.000045
