,EVID,Depi,I,StdI,StdLogR,Ndata
0,640001.0,131.67693362840186,3.0,0.7461823119721722,0.21319494627776348,104
1,640001.0,112.98588536251069,3.5,0.7588884755054699,0.21682527871584856,117
2,640001.0,84.51383899339697,4.0,0.7466429555428205,0.21332655872652012,175
3,640001.0,53.44474981388099,4.5,0.589676360624452,0.16847896017841485,187
4,640001.0,45.343400769443704,5.0,0.6929776596507757,0.19799361704307877,146
5,640001.0,33.899071144813924,5.5,0.664140694574293,0.18975448416408372,87
6,640001.0,27.239058228316434,6.0,0.635536244957571,0.18158178427359173,88
7,640001.0,21.577181002043936,6.5,0.5459016161086986,0.15597189031677103,36
8,640001.0,8.825516082939124,7.0,0.5966993786194144,0.1704855367484041,30
9,640001.0,6.8006065515855365,7.5,0.5020458146424487,0.0641312026548398,2
