NumEvt: 640001, year=1980, I0 from catalogue = 7.5
Barycenter Io:7.67
Barycenter M:5.15
Barycenter H:6.14
H[km]	Mag	PDF
2.0598	4.8475	0.000377
2.5085	4.8475	0.000373
2.6788	4.8475	0.001217
2.8607	4.8475	0.001120
3.0549	4.8475	0.000364
3.2623	4.8475	0.001207
3.4838	4.8475	0.002440
3.9730	4.8475	0.003583
4.5308	4.8475	0.003463
4.8384	4.8475	0.000289
5.1670	4.8475	0.003003
5.5178	4.8475	0.001264
5.8924	4.8475	0.002052
6.2925	4.8475	0.002804
6.7197	4.8475	0.000829
7.1760	4.8475	0.002442
7.6632	4.8475	0.001514
8.1835	4.8475	0.001968
8.7392	4.8475	0.001787
9.3325	4.8475	0.001412
9.9662	4.8475	0.001329
10.6429	4.8475	0.000907
11.3655	4.8475	0.000593
12.1372	4.8475	0.000280
2.0598	4.9492	0.000358
2.1996	4.9492	0.000363
2.5085	4.9492	0.000921
2.6788	4.9492	0.003239
2.8607	4.9492	0.000677
3.0549	4.9492	0.001242
3.2623	4.9492	0.004475
3.4838	4.9492	0.007527
3.7204	4.9492	0.000331
3.9730	4.9492	0.012004
4.2427	4.9492	0.000395
4.5308	4.9492	0.011023
4.8384	4.9492	0.001722
5.1670	4.9492	0.010688
5.5178	4.9492	0.004148
5.8924	4.9492	0.007285
6.2925	4.9492	0.009207
6.7197	4.9492	0.003921
7.1760	4.9492	0.008181
7.6632	4.9492	0.005425
8.1835	4.9492	0.006896
8.7392	4.9492	0.006215
9.3325	4.9492	0.005098
9.9662	4.9492	0.004582
10.6429	4.9492	0.003755
11.3655	4.9492	0.002455
12.1372	4.9492	0.002044
12.9612	4.9492	0.000074
2.0598	5.0508	0.000883
2.1996	5.0508	0.000228
2.5085	5.0508	0.001543
2.6788	5.0508	0.001578
2.8607	5.0508	0.000892
3.0549	5.0508	0.002355
3.2623	5.0508	0.009174
3.4838	5.0508	0.007975
3.7204	5.0508	0.000816
3.9730	5.0508	0.022765
4.2427	5.0508	0.001302
4.5308	5.0508	0.020396
