,EVID,Depi,I,StdI,StdLogR,Ndata
0,640001.0,121.34871096931738,3.266783968342698,0.7618845367275247,0.2176812962078642,221.0
1,640001.0,103.65950935582083,3.586126492321048,0.8029871598843203,0.22942490282409153,396.0
2,640001.0,75.80615838938708,4.073263333892209,0.83159422647066,0.23759835042018856,479.0
3,640001.0,59.61125594641512,4.4721905131746205,0.7824959038489849,0.22357025824256713,508.0
4,640001.0,45.96049255696639,4.878909208413167,0.6933710691295604,0.19810601975130296,420.0
5,640001.0,36.37004680916839,5.413368289038831,0.7453261760106074,0.21295033600303068,321.0
6,640001.0,28.665741464817263,5.877796733333467,0.6798644200503811,0.19424697715725173,211.0
7,640001.0,20.734266892619925,6.31005736591555,0.8927786976849805,0.25507962790999444,154.0
8,640001.0,14.064170582481704,6.7490309875978465,0.8926167796406366,0.25503336561161044,68.0
9,640001.0,8.693401922290544,7.028934576563117,0.5889979149435598,0.16828511855530282,32.0
