NumEvt: 640001, year=1980, I0 from catalogue = 7.5
Barycenter Io:7.63
Barycenter M:5.19
Barycenter H:7.78
H[km]	Mag	PDF
9.3325	5.2542	0.018438
9.9662	5.2542	0.016579
10.6429	5.2542	0.014022
11.3655	5.2542	0.011974
12.1372	5.2542	0.010082
12.9612	5.2542	0.007124
13.8413	5.2542	0.006709
14.7810	5.2542	0.004448
15.7846	5.2542	0.000874
16.8564	5.2542	0.000469
18.0009	5.2542	0.000194
19.2231	5.2542	0.000050
2.6788	5.3559	0.000467
2.8607	5.3559	0.000186
3.0549	5.3559	0.000427
3.2623	5.3559	0.000440
3.4838	5.3559	0.000495
3.7204	5.3559	0.000669
3.9730	5.3559	0.001448
4.2427	5.3559	0.000799
4.5308	5.3559	0.003124
4.8384	5.3559	0.001426
5.1670	5.3559	0.003064
5.5178	5.3559	0.002959
5.8924	5.3559	0.004369
6.2925	5.3559	0.003220
6.7197	5.3559	0.013462
7.1760	5.3559	0.014480
7.6632	5.3559	0.002713
8.1835	5.3559	0.015146
8.7392	5.3559	0.014419
9.3325	5.3559	0.014690
9.9662	5.3559	0.013210
10.6429	5.3559	0.011247
11.3655	5.3559	0.009504
12.1372	5.3559	0.007900
12.9612	5.3559	0.005760
13.8413	5.3559	0.005675
14.7810	5.3559	0.003465
15.7846	5.3559	0.000526
16.8564	5.3559	0.000390
18.0009	5.3559	0.000208
19.2231	5.3559	0.000062
2.6788	5.4576	0.000058
3.0549	5.4576	0.000255
3.2623	5.4576	0.000196
3.4838	5.4576	0.000167
3.7204	5.4576	0.000348
3.9730	5.4576	0.000308
4.2427	5.4576	0.000287
4.5308	5.4576	0.001058
4.8384	5.4576	0.000543
5.1670	5.4576	0.001167
5.5178	5.4576	0.001054
5.8924	5.4576	0.001026
6.2925	5.4576	0.001262
6.7197	5.4576	0.006143
7.1760	5.4576	0.008612
7.6632	5.4576	0.001051
8.1835	5.4576	0.008929
8.7392	5.4576	0.008786
9.3325	5.4576	0.008652
9.9662	5.4576	0.007897
10.6429	5.4576	0.006811
11.3655	5.4576	0.005675
12.1372	5.4576	0.004639
12.9612	5.4576	0.003452
13.8413	5.4576	0.003469
14.7810	5.4576	0.001975
15.7846	5.4576	0.000176
16.8564	5.4576	0.000167
18.0009	5.4576	0.000106
19.2231	5.4576	0.000013
3.0549	5.5593	0.000047
3.4838	5.5593	0.000038
3.7204	5.5593	0.000170
3.9730	5.5593	0.000103
4.2427	5.5593	0.000094
4.5308	5.5593	0.000205
4.8384	5.5593	0.000088
5.1670	5.5593	0.000234
5.5178	5.5593	0.000248
5.8924	5.5593	0.000290
6.2925	5.5593	0.000281
6.7197	5.5593	0.000284
7.1760	5.5593	0.002854
7.6632	5.5593	0.000297
8.1835	5.5593	0.002990
8.7392	5.5593	0.002953
9.3325	5.5593	0.002919
9.9662	5.5593	0.002654
10.6429	5.5593	0.002273
11.3655	5.5593	0.001955
12.1372	5.5593	0.001555
12.9612	5.5593	0.001183
13.8413	5.5593	0.001358
14.7810	5.5593	0.000498
15.7846	5.5593	0.000047
16.8564	5.5593	0.000040
18.0009	5.5593	0.000041
19.2231	5.5593	0.000005
