EVID;Iobs;QIobs;Lon;Lat;LocID;Depi;I0;Year
640001.0;0.0;A;3.08333333333;44.1;121450001.0;298.1062862351846;7.5;1980.0
640001.0;2.0;A;2.23333333333;44.4833333333;121480001.0;258.5973009366441;7.5;1980.0
640001.0;0.0;A;3.11666666667;43.8666666667;121550001.0;292.3653551334097;7.5;1980.0
640001.0;0.0;A;2.66666666667;44.85;121640001.0;310.59761397432106;7.5;1980.0
640001.0;0.0;A;1.96666666667;44.2166666667;121670001.0;224.23214166724517;7.5;1980.0
640001.0;0.0;A;2.33333333333;44.2;121690001.0;248.3541877798554;7.5;1980.0
640001.0;0.0;A;2.73333333333;44.2833333333;121850001.0;280.89736702398926;7.5;1980.0
640001.0;3.5;A;2.53333333333;44.0333333333;121970001.0;254.51890328028284;7.5;1980.0
640001.0;0.0;A;2.23333333333;44.3;121980001.0;247.14816723868208;7.5;1980.0
640001.0;0.0;A;2.28333333333;44.4166666667;121990001.0;257.58809298336297;7.5;1980.0
640001.0;0.0;A;3.13333333333;44.1833333333;122000001.0;305.2524028800126;7.5;1980.0
640001.0;-1.0;C;2.5666666666699998;44.35;122020001.0;272.7803126509294;7.5;1980.0
640001.0;0.0;A;2.88333333333;43.9666666667;122080001.0;277.92471536904355;7.5;1980.0
640001.0;0.0;A;2.66666666667;44.6833333333;122090001.0;299.5126149530918;7.5;1980.0
640001.0;0.0;A;2.95;44.1666666667;122130001.0;291.0217792907952;7.5;1980.0
640001.0;0.0;A;2.91666666667;44.5833333333;122140001.0;309.9717701706506;7.5;1980.0
640001.0;0.0;A;2.76666666667;44.8;122230001.0;313.5279294013601;7.5;1980.0
640001.0;0.0;A;2.96666666667;44.4666666667;122240001.0;306.8979355731052;7.5;1980.0
640001.0;0.0;A;3.36666666667;44.0166666667;122310001.0;316.43305937146;7.5;1980.0
640001.0;3.5;A;2.9;44.05;122440001.0;282.40507515831297;7.5;1980.0
640001.0;0.0;A;2.6;43.8833333333;122480001.0;253.38449024557704;7.5;1980.0
640001.0;0.0;A;2.78333333333;44.1833333333;122530001.0;279.6057809283018;7.5;1980.0
640001.0;0.0;A;2.2;44.2166666667;122580001.0;240.03838492431905;7.5;1980.0
640001.0;0.0;A;3.0666666666699998;44.3333333333;122700001.0;307.18261937099976;7.5;1980.0
640001.0;3.5;A;2.03333333333;44.35;123000001.0;237.009207345195;7.5;1980.0
640001.0;0.0;A;2.03333333333;44.4333333333;123010001.0;242.51670754569292;7.5;1980.0
640001.0;0.0;A;2.21666666667;44.55;123050001.0;261.9773764823371;7.5;1980.0
640001.0;2.0;A;0.116666666667;45.2333333333;161300001.0;241.59349651185022;7.5;1980.0
640001.0;3.5;A;-0.366666666667;45.7;161690001.0;290.7758516406278;7.5;1980.0
640001.0;0.0;A;-0.8666666666670001;45.55;170150001.0;277.3729993881657;7.5;1980.0
640001.0;2.5;A;-1.13333333333;45.7333333333;170210001.0;301.2798677257524;7.5;1980.0
640001.0;0.0;A;-0.85;45.5333333333;170340001.0;275.3415192261838;7.5;1980.0
640001.0;0.0;A;-1.0;45.8833333333;170360001.0;315.62484573997574;7.5;1980.0
640001.0;0.0;A;-1.15;45.85;170580001.0;314.2239911421216;7.5;1980.0
640001.0;2.0;C;-1.05;45.7;170640001.0;296.313890089673;7.5;1980.0
640001.0;2.0;B;-0.2;45.1333333333;170770001.0;228.034327340531;7.5;1980.0
640001.0;0.0;A;-1.0666666666700002;45.7333333333;170790001.0;300.20233321963696;7.5;1980.0
640001.0;0.0;A;-0.916666666667;45.8333333333;170830001.0;309.0871028521225;7.5;1980.0
640001.0;0.0;A;-1.2;45.8833333333;170930001.0;318.68207437705735;7.5;1980.0
640001.0;2.0;A;-1.08333333333;46.0666666667;170940001.0;336.82329277852915;7.5;1980.0
640001.0;3.0;A;-0.833333333333;45.5166666667;170980001.0;273.3138487912234;7.5;1980.0
640001.0;0.0;A;-1.2666666666700002;45.9166666667;171400001.0;323.47041546434605;7.5;1980.0
640001.0;0.0;A;-0.95;45.9;171460001.0;316.81030986293865;7.5;1980.0
640001.0;0.0;A;-0.983333333333;45.7;171510001.0;295.33694495315655;7.5;1980.0
640001.0;0.0;A;-1.1;45.7333333333;171550001.0;300.72987086521704;7.5;1980.0
640001.0;0.0;A;-0.75;45.4833333333;171600001.0;268.74753171581506;7.5;1980.0
640001.0;0.0;A;-0.95;45.8;171840001.0;305.8411653464526;7.5;1980.0
640001.0;0.0;A;-0.95;45.7333333333;171850001.0;298.5344922431367;7.5;1980.0
640001.0;0.0;A;-1.0666666666700002;45.85;171890001.0;312.92082778179173;7.5;1980.0
640001.0;0.0;A;-1.11666666667;45.8333333333;172190001.0;311.8730579985318;7.5;1980.0
640001.0;0.0;A;-1.15;45.7166666667;172250001.0;299.75673106912325;7.5;1980.0
640001.0;0.0;A;-0.95;45.55;172300001.0;278.46965936642954;7.5;1980.0
640001.0;0.0;A;-1.0333333333299999;45.9;172370001.0;317.9031373437333;7.5;1980.0
640001.0;0.0;A;-1.0333333333299999;45.7166666667;172470001.0;297.87898717147726;7.5;1980.0
640001.0;0.0;A;-0.7833333333329999;45.4833333333;172480001.0;269.0895856521442;7.5;1980.0
640001.0;0.0;A;-1.0;45.75;172650001.0;301.0369662200056;7.5;1980.0
640001.0;2.0;B;-1.15;46.1666666667;173000001.0;348.7036334735943;7.5;1980.0
640001.0;2.5;B;-1.0333333333299999;45.6333333333;173060001.0;288.79362207785545;7.5;1980.0
640001.0;0.0;A;-1.11666666667;45.6833333333;173110001.0;295.57343986359103;7.5;1980.0
640001.0;0.0;A;-1.38333333333;46.0333333333;173230001.0;338.2525638729872;7.5;1980.0
640001.0;0.0;A;-0.7;45.4333333333;173250001.0;262.76132180350635;7.5;1980.0
640001.0;0.0;A;-0.7166666666670001;45.4666666667;173280001.0;266.5917128265136;7.5;1980.0
640001.0;0.0;A;-1.0666666666700002;45.9166666667;173290001.0;320.19760620090705;7.5;1980.0
640001.0;0.0;A;-1.0;45.6;173330001.0;284.65461521754315;7.5;1980.0
640001.0;0.0;A;-1.33333333333;45.9833333333;173370001.0;331.9053237170945;7.5;1980.0
640001.0;0.0;A;-0.95;45.8166666667;173480001.0;307.6686170639591;7.5;1980.0
640001.0;0.0;A;-1.0333333333299999;45.8;173510001.0;306.97504036024674;7.5;1980.0
640001.0;0.0;A;-1.05;45.9333333333;173750001.0;321.78060047735124;7.5;1980.0
640001.0;0.0;A;-1.08333333333;45.65;173800001.0;291.40074778225176;7.5;1980.0
640001.0;0.0;A;-1.3;45.95;173850001.0;327.6837134196182;7.5;1980.0
640001.0;2.0;A;-0.15;45.1666666667;173860012.0;231.95333240196905;7.5;1980.0
640001.0;0.0;A;-0.75;45.45;173920001.0;265.07290830068143;7.5;1980.0
640001.0;0.0;A;-0.983333333333;45.7666666667;174060001.0;302.62954833265576;7.5;1980.0
640001.0;0.0;A;-1.0166666666700002;45.6666666667;174090001.0;292.17608086977117;7.5;1980.0
640001.0;0.0;A;-1.2;45.85;174110001.0;315.0702465663617;7.5;1980.0
640001.0;0.0;A;-1.0166666666700002;45.9333333333;174290001.0;321.3221370943615;7.5;1980.0
640001.0;0.0;A;-0.916666666667;45.5333333333;174370001.0;276.18751296743625;7.5;1980.0
640001.0;0.0;A;-1.15;45.7666666667;174520001.0;305.1779543840751;7.5;1980.0
640001.0;0.0;A;-1.0666666666700002;45.65;174610001.0;291.13127668230817;7.5;1980.0
640001.0;0.0;A;-1.08333333333;45.95;174840001.0;324.0792903035229;7.5;1980.0
