NumEvt: 650009, year=1660, I0 from catalogue = 8.5
Barycenter Io:8.3
Barycenter M:6.66
Barycenter H:20.25
H[km]	Mag	PDF
9.3325	6.0678	0.000040
9.9662	6.0678	0.000060
10.6429	6.0678	0.000085
11.3655	6.0678	0.000116
12.1372	6.0678	0.000151
12.9612	6.0678	0.000414
13.8413	6.0678	0.000257
14.7810	6.0678	0.000575
15.7846	6.0678	0.000294
16.8564	6.0678	0.000539
18.0009	6.0678	0.000414
19.2231	6.0678	0.000267
20.5282	6.0678	0.000145
21.9221	6.0678	0.000040
9.3325	6.1695	0.000264
9.9662	6.1695	0.000394
10.6429	6.1695	0.000562
11.3655	6.1695	0.000864
12.1372	6.1695	0.001145
12.9612	6.1695	0.002944
13.8413	6.1695	0.002354
14.7810	6.1695	0.004263
15.7846	6.1695	0.003124
16.8564	6.1695	0.004966
18.0009	6.1695	0.003455
19.2231	6.1695	0.003083
20.5282	6.1695	0.001969
21.9221	6.1695	0.001126
23.4105	6.1695	0.000244
9.3325	6.2712	0.000334
9.9662	6.2712	0.000498
10.6429	6.2712	0.000709
11.3655	6.2712	0.001237
12.1372	6.2712	0.001665
12.9612	6.2712	0.004029
13.8413	6.2712	0.004074
14.7810	6.2712	0.006245
15.7846	6.2712	0.006324
16.8564	6.2712	0.009463
18.0009	6.2712	0.006917
19.2231	6.2712	0.007769
20.5282	6.2712	0.007334
21.9221	6.2712	0.005174
23.4105	6.2712	0.003411
25.0000	6.2712	0.001284
9.3325	6.3729	0.000098
9.9662	6.3729	0.000146
10.6429	6.3729	0.000208
11.3655	6.3729	0.000587
12.1372	6.3729	0.000821
12.9612	6.3729	0.001657
13.8413	6.3729	0.002965
14.7810	6.3729	0.003271
15.7846	6.3729	0.006254
16.8564	6.3729	0.009447
18.0009	6.3729	0.008221
19.2231	6.3729	0.011389
20.5282	6.3729	0.015593
21.9221	6.3729	0.013207
23.4105	6.3729	0.012068
25.0000	6.3729	0.005824
9.9662	6.4746	0.000022
10.6429	6.4746	0.000130
11.3655	6.4746	0.000465
12.1372	6.4746	0.000443
12.9612	6.4746	0.000590
13.8413	6.4746	0.001879
14.7810	6.4746	0.001364
15.7846	6.4746	0.004132
16.8564	6.4746	0.005777
18.0009	6.4746	0.007869
19.2231	6.4746	0.010737
20.5282	6.4746	0.019801
21.9221	6.4746	0.022893
23.4105	6.4746	0.025517
25.0000	6.4746	0.017842
9.9662	6.5763	0.000166
10.6429	6.5763	0.000518
11.3655	6.5763	0.001329
12.1372	6.5763	0.001264
12.9612	6.5763	0.001649
13.8413	6.5763	0.004522
14.7810	6.5763	0.002851
15.7846	6.5763	0.006542
16.8564	6.5763	0.004545
18.0009	6.5763	0.009137
19.2231	6.5763	0.010357
20.5282	6.5763	0.019637
21.9221	6.5763	0.029505
23.4105	6.5763	0.036073
25.0000	6.5763	0.029988
9.9662	6.6780	0.000244
10.6429	6.6780	0.000593
11.3655	6.6780	0.001347
12.1372	6.6780	0.001372
12.9612	6.6780	0.001789
13.8413	6.6780	0.004900
14.7810	6.6780	0.003220
15.7846	6.6780	0.007547
16.8564	6.6780	0.005202
18.0009	6.6780	0.010588
19.2231	6.6780	0.010976
20.5282	6.6780	0.016985
21.9221	6.6780	0.026481
23.4105	6.6780	0.031541
25.0000	6.6780	0.024867
9.9662	6.7797	0.000239
10.6429	6.7797	0.000487
11.3655	6.7797	0.000979
12.1372	6.7797	0.001070
12.9612	6.7797	0.001396
13.8413	6.7797	0.003823
14.7810	6.7797	0.002680
15.7846	6.7797	0.006796
16.8564	6.7797	0.005981
18.0009	6.7797	0.012613
19.2231	6.7797	0.014674
20.5282	6.7797	0.018035
21.9221	6.7797	0.024497
23.4105	6.7797	0.027247
25.0000	6.7797	0.015202
9.9662	6.8814	0.000065
10.6429	6.8814	0.000106
11.3655	6.8814	0.000170
12.1372	6.8814	0.000214
12.9612	6.8814	0.000279
13.8413	6.8814	0.000764
14.7810	6.8814	0.000642
15.7846	6.8814	0.002112
16.8564	6.8814	0.003097
18.0009	6.8814	0.007020
19.2231	6.8814	0.010300
20.5282	6.8814	0.013918
21.9221	6.8814	0.019924
23.4105	6.8814	0.023151
25.0000	6.8814	0.012068
14.7810	6.9831	0.000213
15.7846	6.9831	0.000830
16.8564	6.9831	0.002050
18.0009	6.9831	0.004545
19.2231	6.9831	0.006447
20.5282	6.9831	0.008908
21.9221	6.9831	0.013822
23.4105	6.9831	0.016455
25.0000	6.9831	0.008839
14.7810	7.0847	0.000210
15.7846	7.0847	0.000625
16.8564	7.0847	0.002043
18.0009	7.0847	0.003634
19.2231	7.0847	0.005025
20.5282	7.0847	0.006836
21.9221	7.0847	0.010261
23.4105	7.0847	0.013245
25.0000	7.0847	0.007121
14.7810	7.1864	0.000143
15.7846	7.1864	0.000425
16.8564	7.1864	0.001389
18.0009	7.1864	0.002382
19.2231	7.1864	0.003280
20.5282	7.1864	0.004435
21.9221	7.1864	0.006520
23.4105	7.1864	0.008482
25.0000	7.1864	0.004571
14.7810	7.2881	0.000019
15.7846	7.2881	0.000055
16.8564	7.2881	0.000428
18.0009	7.2881	0.000578
19.2231	7.2881	0.001038
20.5282	7.2881	0.001478
21.9221	7.2881	0.002031
23.4105	7.2881	0.002967
25.0000	7.2881	0.001550
