,EVID,Depi,I,StdI,StdLogR,Ndata
0,650009.0,187.31211438302688,5.0,0.3475946311036126,0.09931275174388932,25
1,650009.0,128.60164628643534,5.5,0.4817504287232242,0.1376429796352069,8
2,650009.0,121.72847697325396,6.0,0.37015011717588764,0.1057571763359679,8
3,650009.0,61.38572004187888,6.5,0.71,0.0,1
4,650009.0,51.131771390195965,7.0,0.71,0.0,1
5,650009.0,23.18022784728124,7.5,0.4099186911246343,0.09929170953293931,3
6,650009.0,11.75664536723412,8.0,0.21407305465021217,0.05195050377620177,11
7,650009.0,7.406095833604466,8.5,0.71,0.0,1
