,EVID,Depi,I,Io,QIo,StdI,StdlogR,Ndata
0,650009.0,7.406095833604438,8.5,8.5,0.5,0.71,0.0,1.0
1,650009.0,11.892993028749396,8.0,8.5,0.5,0.21407305465021217,0.009397047506503546,11.0
2,650009.0,23.822716630182445,7.5,8.5,0.5,0.4099186911246343,0.0451639497554453,3.0
3,650009.0,51.13177139019631,7.0,8.5,0.5,0.71,0.0,1.0
4,650009.0,61.385720041878116,6.5,8.5,0.5,0.71,0.0,1.0
5,650009.0,122.02059101721538,6.000000000000003,8.5,0.5,0.3549577504749674,0.10141650013570498,8.0
6,650009.0,129.05037332336818,5.5,8.5,0.5,0.4650424133570548,0.13286926095915852,8.0
7,650009.0,187.50388341819837,4.999999999999999,8.5,0.5,0.34024343323802636,0.09721240949657896,25.0
20,650009.0,0.0,8.5,8.5,0.5,0.5,99.0,1.0
