NumEvt: 650009, year=1660, I0 from catalogue = 8.5
Barycenter Io:8.31
Barycenter M:6.65
Barycenter H:18.28
H[km]	Mag	PDF
9.3325	6.1695	0.000065
9.9662	6.1695	0.000162
10.6429	6.1695	0.000235
11.3655	6.1695	0.000327
12.1372	6.1695	0.000435
12.9612	6.1695	0.000553
13.8413	6.1695	0.000674
14.7810	6.1695	0.000786
15.7846	6.1695	0.000877
16.8564	6.1695	0.001893
18.0009	6.1695	0.000936
19.2231	6.1695	0.001663
20.5282	6.1695	0.001227
21.9221	6.1695	0.000762
23.4105	6.1695	0.000301
25.0000	6.1695	0.000162
9.3325	6.2712	0.000239
9.9662	6.2712	0.000659
10.6429	6.2712	0.000960
11.3655	6.2712	0.001337
12.1372	6.2712	0.001818
12.9612	6.2712	0.002399
13.8413	6.2712	0.003030
14.7810	6.2712	0.003622
15.7846	6.2712	0.004387
16.8564	6.2712	0.008401
18.0009	6.2712	0.005110
19.2231	6.2712	0.008367
20.5282	6.2712	0.006625
21.9221	6.2712	0.004947
23.4105	6.2712	0.002288
25.0000	6.2712	0.001505
4.8384	6.3729	0.000009
5.8924	6.3729	0.000013
6.7197	6.3729	0.000019
7.1760	6.3729	0.000025
8.1835	6.3729	0.000033
8.7392	6.3729	0.000041
9.3325	6.3729	0.000334
9.9662	6.3729	0.000817
10.6429	6.3729	0.001168
11.3655	6.3729	0.001603
12.1372	6.3729	0.002293
12.9612	6.3729	0.003551
13.8413	6.3729	0.004777
14.7810	6.3729	0.006075
15.7846	6.3729	0.009074
16.8564	6.3729	0.013128
18.0009	6.3729	0.012831
19.2231	6.3729	0.017678
20.5282	6.3729	0.016465
21.9221	6.3729	0.015408
23.4105	6.3729	0.010422
25.0000	6.3729	0.006771
4.8384	6.4746	0.000090
5.8924	6.4746	0.000134
6.7197	6.4746	0.000191
7.1760	6.4746	0.000261
8.1835	6.4746	0.000340
8.7392	6.4746	0.000425
9.3325	6.4746	0.000138
9.9662	6.4746	0.000811
10.6429	6.4746	0.001018
11.3655	6.4746	0.001241
12.1372	6.4746	0.001742
12.9612	6.4746	0.002962
13.8413	6.4746	0.004386
14.7810	6.4746	0.006275
15.7846	6.4746	0.010874
16.8564	6.4746	0.011937
18.0009	6.4746	0.018417
19.2231	6.4746	0.022593
20.5282	6.4746	0.024577
21.9221	6.4746	0.025107
23.4105	6.4746	0.022920
25.0000	6.4746	0.014189
4.8384	6.5763	0.000208
5.8924	6.5763	0.000311
6.7197	6.5763	0.000443
7.1760	6.5763	0.000604
8.1835	6.5763	0.000788
8.7392	6.5763	0.000983
9.3325	6.5763	0.000148
9.9662	6.5763	0.001513
10.6429	6.5763	0.001686
11.3655	6.5763	0.002084
12.1372	6.5763	0.002520
12.9612	6.5763	0.003661
13.8413	6.5763	0.004473
14.7810	6.5763	0.006678
15.7846	6.5763	0.009818
16.8564	6.5763	0.009872
18.0009	6.5763	0.016190
19.2231	6.5763	0.017913
20.5282	6.5763	0.020023
21.9221	6.5763	0.019509
23.4105	6.5763	0.020663
25.0000	6.5763	0.011995
5.8924	6.6780	0.000441
6.7197	6.6780	0.000628
7.1760	6.6780	0.000857
8.1835	6.6780	0.001118
8.7392	6.6780	0.001395
9.3325	6.6780	0.000305
9.9662	6.6780	0.002555
10.6429	6.6780	0.002798
11.3655	6.6780	0.003716
12.1372	6.6780	0.004385
12.9612	6.6780	0.006180
13.8413	6.6780	0.006247
14.7810	6.6780	0.008997
15.7846	6.6780	0.010459
