NumEvt: 650009, year=1660, I0 from catalogue = 8.5
Barycenter Io:8.28
Barycenter M:6.66
Barycenter H:20.69
H[km]	Mag	PDF
8.1835	6.0678	0.000065
8.7392	6.0678	0.000097
9.9662	6.0678	0.000138
10.6429	6.0678	0.000189
11.3655	6.0678	0.000246
12.1372	6.0678	0.000307
12.9612	6.0678	0.000367
13.8413	6.0678	0.000419
14.7810	6.0678	0.000458
15.7846	6.0678	0.000479
16.8564	6.0678	0.000479
18.0009	6.0678	0.000458
19.2231	6.0678	0.000786
20.5282	6.0678	0.000307
21.9221	6.0678	0.000435
23.4105	6.0678	0.000223
25.0000	6.0678	0.000025
8.1835	6.1695	0.000239
8.7392	6.1695	0.000357
9.9662	6.1695	0.000509
10.6429	6.1695	0.000781
11.3655	6.1695	0.001027
12.1372	6.1695	0.001295
12.9612	6.1695	0.001567
13.8413	6.1695	0.001836
14.7810	6.1695	0.002041
15.7846	6.1695	0.002689
16.8564	6.1695	0.002352
18.0009	6.1695	0.002970
19.2231	6.1695	0.004259
20.5282	6.1695	0.001847
21.9221	6.1695	0.002864
23.4105	6.1695	0.001824
25.0000	6.1695	0.000919
8.1835	6.2712	0.000293
8.7392	6.2712	0.000437
9.9662	6.2712	0.000623
10.6429	6.2712	0.001034
11.3655	6.2712	0.001366
12.1372	6.2712	0.001733
12.9612	6.2712	0.002112
13.8413	6.2712	0.002733
14.7810	6.2712	0.003107
15.7846	6.2712	0.004766
16.8564	6.2712	0.004352
18.0009	6.2712	0.006066
19.2231	6.2712	0.008065
20.5282	6.2712	0.005212
21.9221	6.2712	0.007540
23.4105	6.2712	0.005748
25.0000	6.2712	0.003816
8.1835	6.3729	0.000130
8.7392	6.3729	0.000194
9.3325	6.3729	0.000008
9.9662	6.3729	0.000289
10.6429	6.3729	0.000656
11.3655	6.3729	0.000881
12.1372	6.3729	0.001141
12.9612	6.3729	0.001425
13.8413	6.3729	0.002298
14.7810	6.3729	0.002904
15.7846	6.3729	0.005612
16.8564	6.3729	0.005436
18.0009	6.3729	0.008496
19.2231	6.3729	0.010325
20.5282	6.3729	0.010975
21.9221	6.3729	0.016295
23.4105	6.3729	0.016420
25.0000	6.3729	0.013081
8.1835	6.4746	0.000009
8.7392	6.4746	0.000051
9.3325	6.4746	0.000141
9.9662	6.4746	0.000144
10.6429	6.4746	0.000395
11.3655	6.4746	0.000537
12.1372	6.4746	0.000705
12.9612	6.4746	0.000891
13.8413	6.4746	0.001561
14.7810	6.4746	0.002217
15.7846	6.4746	0.003968
16.8564	6.4746	0.004687
18.0009	6.4746	0.006940
19.2231	6.4746	0.007664
20.5282	6.4746	0.015026
21.9221	6.4746	0.026410
23.4105	6.4746	0.032571
25.0000	6.4746	0.028672
8.7392	6.5763	0.000139
9.3325	6.5763	0.000401
9.9662	6.5763	0.000291
10.6429	6.5763	0.000699
11.3655	6.5763	0.000943
12.1372	6.5763	0.001222
12.9612	6.5763	0.001523
13.8413	6.5763	0.002011
14.7810	6.5763	0.002645
15.7846	6.5763	0.003372
16.8564	6.5763	0.004972
18.0009	6.5763	0.006021
19.2231	6.5763	0.005954
20.5282	6.5763	0.014636
21.9221	6.5763	0.028655
23.4105	6.5763	0.036273
25.0000	6.5763	0.032789
8.7392	6.6780	0.000231
9.3325	6.6780	0.000570
9.9662	6.6780	0.000344
10.6429	6.6780	0.000951
11.3655	6.6780	0.001281
12.1372	6.6780	0.001659
12.9612	6.6780	0.002066
13.8413	6.6780	0.002629
14.7810	6.6780	0.003501
15.7846	6.6780	0.004412
16.8564	6.6780	0.006895
18.0009	6.6780	0.007640
19.2231	6.6780	0.008359
20.5282	6.6780	0.015390
21.9221	6.6780	0.027960
23.4105	6.6780	0.033320
25.0000	6.6780	0.029231
8.7392	6.7797	0.000195
9.3325	6.7797	0.000425
9.9662	6.7797	0.000208
10.6429	6.7797	0.000687
11.3655	6.7797	0.000925
12.1372	6.7797	0.001198
12.9612	6.7797	0.001492
13.8413	6.7797	0.002060
14.7810	6.7797	0.003405
15.7846	6.7797	0.004845
16.8564	6.7797	0.007586
18.0009	6.7797	0.008634
19.2231	6.7797	0.011091
20.5282	6.7797	0.016544
21.9221	6.7797	0.024021
23.4105	6.7797	0.026835
25.0000	6.7797	0.021609
8.7392	6.8814	0.000084
9.3325	6.8814	0.000161
9.9662	6.8814	0.000056
10.6429	6.8814	0.000250
11.3655	6.8814	0.000336
12.1372	6.8814	0.000435
12.9612	6.8814	0.000542
13.8413	6.8814	0.000830
14.7810	6.8814	0.001735
15.7846	6.8814	0.002825
16.8564	6.8814	0.004252
18.0009	6.8814	0.005126
19.2231	6.8814	0.007635
20.5282	6.8814	0.012093
21.9221	6.8814	0.017354
23.4105	6.8814	0.021157
25.0000	6.8814	0.016926
8.7392	6.9831	0.000008
9.3325	6.9831	0.000012
10.6429	6.9831	0.000017
11.3655	6.9831	0.000022
12.1372	6.9831	0.000029
12.9612	6.9831	0.000036
13.8413	6.9831	0.000246
14.7810	6.9831	0.000851
15.7846	6.9831	0.001526
16.8564	6.9831	0.001722
18.0009	6.9831	0.002765
19.2231	6.9831	0.004939
20.5282	6.9831	0.008413
21.9221	6.9831	0.013452
23.4105	6.9831	0.018513
25.0000	6.9831	0.015389
13.8413	7.0847	0.000236
14.7810	7.0847	0.000690
15.7846	7.0847	0.001025
16.8564	7.0847	0.000728
18.0009	7.0847	0.001682
19.2231	7.0847	0.003356
20.5282	7.0847	0.005355
21.9221	7.0847	0.009826
23.4105	7.0847	0.014583
25.0000	7.0847	0.012515
13.8413	7.1864	0.000138
14.7810	7.1864	0.000377
15.7846	7.1864	0.000548
16.8564	7.1864	0.000351
18.0009	7.1864	0.000880
19.2231	7.1864	0.001806
20.5282	7.1864	0.002747
21.9221	7.1864	0.005182
23.4105	7.1864	0.007728
25.0000	7.1864	0.006653
13.8413	7.2881	0.000084
14.7810	7.2881	0.000231
15.7846	7.2881	0.000336
16.8564	7.2881	0.000215
18.0009	7.2881	0.000540
19.2231	7.2881	0.001107
20.5282	7.2881	0.001800
21.9221	7.2881	0.003502
23.4105	7.2881	0.005193
25.0000	7.2881	0.004518
13.8413	7.3898	0.000008
14.7810	7.3898	0.000022
15.7846	7.3898	0.000033
16.8564	7.3898	0.000021
18.0009	7.3898	0.000052
19.2231	7.3898	0.000108
20.5282	7.3898	0.000250
21.9221	7.3898	0.000551
23.4105	7.3898	0.000800
25.0000	7.3898	0.000724
