,NumEvt,Bin_method,C1,C2,Beta,Gamma,Mag,StdM,H,StdH,Io
1,650009,RAVG,3.297,1.306,-2.997,0.0,6.640050299020712,[0.12079988],17.457674314903098,[4.16424197],8.246247566845218
2,650009,RAVG,2.378,1.544,-3.078,0.0,6.334353840012389,[0.10217918],19.296726885895445,[4.22253031],8.201469535256557
3,650009,RAVG,3.237,1.387,-3.258,-0.00121,6.8283555811186325,[0.11374524],24.65105945825006,[4.43540722],8.143199248894708
4,650009,RAVG,2.188,1.574,-3.048,-0.00411,6.5973854186393295,[0.10023167],25.0,2.5,8.208597513419043
5,650009,RAVG,3.052,1.285,-2.742,-0.00167,6.700771100207095,[0.12277404],17.457788793087026,[4.41953373],8.227433211320971
6,650009,RAVG,1.789,1.613,-2.939,0.0,6.232969755790377,[0.09780821],16.442270831887356,[4.16067788],8.268643010542634
7,650009,RAVG,2.947,1.388,-3.058,-0.00164,6.7680120223302165,[0.11366329],22.712502380089592,[4.46917946],8.155948038080634
8,650009,RAVG,1.411,1.682,-2.948,-0.00268,6.448212460124221,[0.09379587],23.733282027876044,[4.64449807],8.138564334229654
9,650009,RAVG,3.064,1.221,-2.478,-0.0064,7.11816789039071,[0.12920938],25.0,2.5,8.131823473252023
10,650009,RAVG,2.475,1.507,-2.978,-0.00394,6.611013974171621,[0.10468789],25.0,2.5,8.176364103000772
11,650009,RAVG,3.321,1.362,-3.225,-0.00175,6.88706444887652,[0.11583307],25.0,2.5,8.148798967617465
12,650009,RAVG,2.327,1.59,-3.243,-0.00198,6.555260280624099,[0.09922305],25.0,2.5,8.166519450969082
13,650009,RAVG,2.902,1.218,-2.348,-0.00659,7.088812400210475,[0.12952763],24.67499316817076,[5.34373486],8.105046522216538
14,650009,RAVG,2.066,1.553,-2.861,-0.00405,6.553023602294011,[0.10158702],25.0,2.5,8.14226185898264
15,650009,RAVG,3.071,1.363,-3.052,-0.00209,6.839244282522163,[0.11574809],23.7563005603165,[4.54848989],8.144115176282595
16,650009,RAVG,1.579,1.689,-3.116,-0.00107,6.401275937104041,[0.09340713],22.44308954911886,[4.40722761],8.156467345010855
17,650009,ROBS,3.608,1.241,-3.039,0.0,6.8076676653281805,[0.10995385],17.52898873365258,[3.72167467],8.267602727216973
18,650009,ROBS,2.649,1.502,-3.179,0.0,6.459767369940622,[0.09084736],19.62879416772035,[3.72912516],8.232062284524629
19,650009,ROBS,3.411,1.325,-3.225,-0.00111,6.934299359420117,[0.10298319],22.736159746456043,[3.87579034],8.189844501260424
20,650009,ROBS,2.397,1.542,-3.157,-0.00121,6.5323269801184525,[0.08849074],22.024417423690497,[3.88568186],8.195209207416076
21,650009,ROBS,3.317,1.223,-2.754,0.0,6.646414796915814,[0.11157214],12.473818067840828,[3.77938008],8.41803907849379
22,650009,ROBS,2.025,1.575,-3.019,0.0,6.333617968586355,[0.08663665],16.72425025413003,[3.68368655],8.296944444028185
23,650009,ROBS,3.089,1.327,-2.996,0.0,6.6839725784268404,[0.10282798],16.60660734716436,[3.7030995],8.293217622317153
24,650009,ROBS,1.589,1.656,-3.046,0.0,6.328563972739428,[0.08239899],17.565008279483383,[3.71599462],8.26873156316201
25,650009,ROBS,3.533,1.167,-2.681,-0.00356,7.066798172766935,[0.11692607],20.137734802461683,[4.1702098],8.205621606096274
26,650009,ROBS,2.832,1.459,-3.123,-0.00128,6.563801175961138,[0.09352483],21.728375988575564,[3.89535652],8.19687343716719
27,650009,ROBS,3.515,1.315,-3.263,0.0,6.851965753371971,[0.10376633],20.717426386126533,[3.7268239],8.220338469737662
28,650009,ROBS,2.524,1.567,-3.383,0.0,6.548637786323192,[0.08707896],22.650792108748416,[3.76398108],8.192275896102817
29,650009,ROBS,3.312,1.161,-2.494,-0.00415,7.015899475706075,[0.11753034],18.189676327240353,[4.24168073],8.233273027890025
30,650009,ROBS,2.386,1.506,-2.978,-0.00167,6.49018331400402,[0.09060606],20.651961183830824,[3.95302152],8.201908237726768
31,650009,ROBS,3.23,1.318,-3.065,0.0,6.732744713272758,[0.10353014],17.66024321507929,[3.70054376],8.271926529127231
32,650009,ROBS,1.748,1.672,-3.247,0.0,6.428300010214862,[0.08161048],20.652085998400874,[3.73942032],8.217028934250175
33,650009,ROBS,4.81,1.27,-3.87,0.0,7.000566596590085,[0.10744309],25.0,2.5,8.27960741319392
34,650009,ROBS,4.66,1.27,-3.83,0.0,7.063630005681233,[0.10744309],25.0,2.5,8.265455150046392
