NumEvt: 650009, year=1660, I0 from catalogue = 8.5
Barycenter Io:8.35
Barycenter M:6.84
Barycenter H:21.12
H[km]	Mag	Io	PDF
21.9221	6.0678	7.5556	0.000005
23.4105	6.0678	7.5556	0.000034
25.0000	6.0678	7.5556	0.000005
23.4105	6.1695	7.5556	0.000010
25.0000	6.1695	7.5556	0.000048
20.5282	6.3729	7.5556	0.000003
21.9221	6.3729	7.5556	0.000006
23.4105	6.3729	7.5556	0.000008
23.4105	6.4746	7.5556	0.000060
25.0000	6.4746	7.5556	0.000031
23.4105	6.5763	7.5556	0.000004
25.0000	6.5763	7.5556	0.000042
25.0000	6.6780	7.5556	0.000006
25.0000	6.7797	7.5556	0.000005
20.5282	6.0678	7.6566	0.000008
21.9221	6.0678	7.6566	0.000063
23.4105	6.0678	7.6566	0.000011
21.9221	6.1695	7.6566	0.000071
23.4105	6.1695	7.6566	0.000184
25.0000	6.1695	7.6566	0.000153
23.4105	6.2712	7.6566	0.000022
25.0000	6.2712	7.6566	0.000124
18.0009	6.3729	7.6566	0.000006
19.2231	6.3729	7.6566	0.000004
20.5282	6.3729	7.6566	0.000009
21.9221	6.3729	7.6566	0.000007
19.2231	6.4746	7.6566	0.000014
20.5282	6.4746	7.6566	0.000036
21.9221	6.4746	7.6566	0.000132
23.4105	6.4746	7.6566	0.000093
21.9221	6.5763	7.6566	0.000037
23.4105	6.5763	7.6566	0.000199
25.0000	6.5763	7.6566	0.000128
23.4105	6.6780	7.6566	0.000046
25.0000	6.6780	7.6566	0.000069
23.4105	6.7797	7.6566	0.000051
25.0000	6.7797	7.6566	0.000018
25.0000	6.8814	7.6566	0.000046
19.2231	6.0678	7.7576	0.000056
20.5282	6.0678	7.7576	0.000053
21.9221	6.0678	7.7576	0.000019
20.5282	6.1695	7.7576	0.000099
21.9221	6.1695	7.7576	0.000385
23.4105	6.1695	7.7576	0.000261
25.0000	6.1695	7.7576	0.000032
21.9221	6.2712	7.7576	0.000117
23.4105	6.2712	7.7576	0.000418
25.0000	6.2712	7.7576	0.000614
16.8564	6.3729	7.7576	0.000010
18.0009	6.3729	7.7576	0.000008
20.5282	6.3729	7.7576	0.000010
23.4105	6.3729	7.7576	0.000061
25.0000	6.3729	7.7576	0.000496
18.0009	6.4746	7.7576	0.000085
19.2231	6.4746	7.7576	0.000052
20.5282	6.4746	7.7576	0.000164
21.9221	6.4746	7.7576	0.000132
19.2231	6.5763	7.7576	0.000018
20.5282	6.5763	7.7576	0.000132
21.9221	6.5763	7.7576	0.000389
23.4105	6.5763	7.7576	0.000401
25.0000	6.5763	7.7576	0.000122
21.9221	6.6780	7.7576	0.000116
23.4105	6.6780	7.7576	0.000405
25.0000	6.6780	7.7576	0.000383
20.5282	6.7797	7.7576	0.000014
21.9221	6.7797	7.7576	0.000079
23.4105	6.7797	7.7576	0.000043
25.0000	6.7797	7.7576	0.000111
21.9221	6.8814	7.7576	0.000030
23.4105	6.8814	7.7576	0.000256
25.0000	6.8814	7.7576	0.000228
25.0000	6.9831	7.7576	0.000032
18.0009	6.0678	7.8586	0.000030
19.2231	6.0678	7.8586	0.000101
19.2231	6.1695	7.8586	0.000249
20.5282	6.1695	7.8586	0.000467
21.9221	6.1695	7.8586	0.000345
20.5282	6.2712	7.8586	0.000347
21.9221	6.2712	7.8586	0.001033
23.4105	6.2712	7.8586	0.000988
25.0000	6.2712	7.8586	0.000477
15.7846	6.3729	7.8586	0.000012
18.0009	6.3729	7.8586	0.000012
19.2231	6.3729	7.8586	0.000011
21.9221	6.3729	7.8586	0.000209
23.4105	6.3729	7.8586	0.001321
25.0000	6.3729	7.8586	0.001721
15.7846	6.4746	7.8586	0.000018
16.8564	6.4746	7.8586	0.000065
18.0009	6.4746	7.8586	0.000115
19.2231	6.4746	7.8586	0.000184
20.5282	6.4746	7.8586	0.000168
23.4105	6.4746	7.8586	0.000041
25.0000	6.4746	7.8586	0.000709
18.0009	6.5763	7.8586	0.000129
19.2231	6.5763	7.8586	0.000228
20.5282	6.5763	7.8586	0.000747
21.9221	6.5763	7.8586	0.000500
23.4105	6.5763	7.8586	0.000229
25.0000	6.5763	7.8586	0.000128
19.2231	6.6780	7.8586	0.000029
20.5282	6.6780	7.8586	0.000296
21.9221	6.6780	7.8586	0.000820
23.4105	6.6780	7.8586	0.001063
25.0000	6.6780	7.8586	0.000746
19.2231	6.7797	7.8586	0.000017
20.5282	6.7797	7.8586	0.000126
21.9221	6.7797	7.8586	0.000128
23.4105	6.7797	7.8586	0.000437
25.0000	6.7797	7.8586	0.000731
20.5282	6.8814	7.8586	0.000058
21.9221	6.8814	7.8586	0.000440
23.4105	6.8814	7.8586	0.000421
25.0000	6.8814	7.8586	0.000411
23.4105	6.9831	7.8586	0.000305
25.0000	6.9831	7.8586	0.000525
15.7846	6.0678	7.9596	0.000013
16.8564	6.0678	7.9596	0.000059
18.0009	6.0678	7.9596	0.000061
16.8564	6.1695	7.9596	0.000019
18.0009	6.1695	7.9596	0.000206
19.2231	6.1695	7.9596	0.000891
20.5282	6.1695	7.9596	0.000172
19.2231	6.2712	7.9596	0.000472
20.5282	6.2712	7.9596	0.001167
21.9221	6.2712	7.9596	0.001463
23.4105	6.2712	7.9596	0.000408
14.7810	6.3729	7.9596	0.000032
16.8564	6.3729	7.9596	0.000012
18.0009	6.3729	7.9596	0.000012
20.5282	6.3729	7.9596	0.000381
21.9221	6.3729	7.9596	0.002172
23.4105	6.3729	7.9596	0.002708
25.0000	6.3729	7.9596	0.001949
14.7810	6.4746	7.9596	0.000121
15.7846	6.4746	7.9596	0.000109
16.8564	6.4746	7.9596	0.000124
18.0009	6.4746	7.9596	0.000321
19.2231	6.4746	7.9596	0.000076
21.9221	6.4746	7.9596	0.000047
23.4105	6.4746	7.9596	0.001995
25.0000	6.4746	7.9596	0.003255
15.7846	6.5763	7.9596	0.000058
16.8564	6.5763	7.9596	0.000167
18.0009	6.5763	7.9596	0.000443
19.2231	6.5763	7.9596	0.000883
20.5282	6.5763	7.9596	0.000520
21.9221	6.5763	7.9596	0.000287
23.4105	6.5763	7.9596	0.000078
25.0000	6.5763	7.9596	0.000292
18.0009	6.6780	7.9596	0.000177
19.2231	6.6780	7.9596	0.000489
20.5282	6.6780	7.9596	0.001355
21.9221	6.6780	7.9596	0.001346
23.4105	6.6780	7.9596	0.001124
25.0000	6.6780	7.9596	0.000704
18.0009	6.7797	7.9596	0.000100
19.2231	6.7797	7.9596	0.000062
20.5282	6.7797	7.9596	0.000187
21.9221	6.7797	7.9596	0.000850
23.4105	6.7797	7.9596	0.001586
25.0000	6.7797	7.9596	0.001141
19.2231	6.8814	7.9596	0.000131
20.5282	6.8814	7.9596	0.000570
21.9221	6.8814	7.9596	0.000453
23.4105	6.8814	7.9596	0.000595
25.0000	6.8814	7.9596	0.001020
20.5282	6.9831	7.9596	0.000092
21.9221	6.9831	7.9596	0.000689
23.4105	6.9831	7.9596	0.001041
25.0000	6.9831	7.9596	0.000959
23.4105	7.0847	7.9596	0.000271
25.0000	7.0847	7.9596	0.000451
14.7810	6.0678	8.0606	0.000030
15.7846	6.0678	8.0606	0.000083
16.8564	6.0678	8.0606	0.000037
16.8564	6.1695	8.0606	0.000411
18.0009	6.1695	8.0606	0.000500
19.2231	6.1695	8.0606	0.000211
18.0009	6.2712	8.0606	0.000282
19.2231	6.2712	8.0606	0.001930
20.5282	6.2712	8.0606	0.001317
21.9221	6.2712	8.0606	0.000378
13.8413	6.3729	8.0606	0.000018
15.7846	6.3729	8.0606	0.000011
18.0009	6.3729	8.0606	0.000022
19.2231	6.3729	8.0606	0.000546
20.5282	6.3729	8.0606	0.002548
21.9221	6.3729	8.0606	0.003373
23.4105	6.3729	8.0606	0.002068
25.0000	6.3729	8.0606	0.000481
13.8413	6.4746	8.0606	0.000067
14.7810	6.4746	8.0606	0.000205
15.7846	6.4746	8.0606	0.000092
16.8564	6.4746	8.0606	0.000190
18.0009	6.4746	8.0606	0.000082
20.5282	6.4746	8.0606	0.000433
21.9221	6.4746	8.0606	0.002573
23.4105	6.4746	8.0606	0.005547
25.0000	6.4746	8.0606	0.004184
14.7810	6.5763	8.0606	0.000153
15.7846	6.5763	8.0606	0.000236
16.8564	6.5763	8.0606	0.000469
18.0009	6.5763	8.0606	0.000963
19.2231	6.5763	8.0606	0.000408
20.5282	6.5763	8.0606	0.000233
21.9221	6.5763	8.0606	0.000070
23.4105	6.5763	8.0606	0.000996
25.0000	6.5763	8.0606	0.002377
15.7846	6.6780	8.0606	0.000091
16.8564	6.6780	8.0606	0.000256
18.0009	6.6780	8.0606	0.000578
19.2231	6.6780	8.0606	0.001882
20.5282	6.6780	8.0606	0.001669
21.9221	6.6780	8.0606	0.001072
23.4105	6.6780	8.0606	0.000549
15.7846	6.7797	8.0606	0.000016
16.8564	6.7797	8.0606	0.000079
18.0009	6.7797	8.0606	0.000090
19.2231	6.7797	8.0606	0.000285
20.5282	6.7797	8.0606	0.001349
21.9221	6.7797	8.0606	0.002185
23.4105	6.7797	8.0606	0.002443
25.0000	6.7797	8.0606	0.004438
18.0009	6.8814	8.0606	0.000358
19.2231	6.8814	8.0606	0.000433
20.5282	6.8814	8.0606	0.000570
21.9221	6.8814	8.0606	0.000693
23.4105	6.8814	8.0606	0.002437
25.0000	6.8814	8.0606	0.008553
19.2231	6.9831	8.0606	0.000110
20.5282	6.9831	8.0606	0.001001
